hugoGeneSymbol,expr_mean,expr_std,expr_min,expr_max
ALK,2.577463848813354,1.580325076880619,0.0,9.709233762306445
APC,9.109237143964139,0.6139181736775847,6.532429178437248,10.589688594310166
ARID1A,11.417178783104445,0.5840100966053079,8.705203834650867,13.23930912590856
ATM,9.829691406860382,0.6553934111067283,7.040202033192236,11.345294351215156
BRAF,7.393871095837522,0.6168988341578777,5.434207866806273,9.287225243470449
CDK4,11.313392121009501,0.720595072252905,9.510801742762055,15.010807806360583
CDKN2A,7.14689687163647,2.443839281974996,1.0805212318314923,12.898463459467276
COL11A1,8.170462913481103,3.131998299702196,0.0,14.289766756586468
CTNNB1,13.35513785670314,0.6503535245272689,10.879315208119673,16.33391354451364
EGFR,9.896240593923306,1.5102073174251691,3.756681739809004,14.556152761884848
ERBB2,12.552830999440266,0.9055139005892244,8.469397616876552,18.004357644010078
FAT1,11.378186009534076,1.1800261136884371,6.5231024158687605,15.51037476569763
FGFR1,9.908108279766527,1.1292553867109836,5.646358536956252,16.08284759443605
KEAP1,10.453405228587672,0.6167282517309631,6.332826065122507,12.25385043890543
KIT,9.51832681385583,1.9601719223420464,3.684560689702685,14.075529288620482
KRAS,10.51123628879301,0.7096901111813982,8.921043516177166,14.864660128325417
LRP1B,1.4817276977832727,1.8183209005316165,0.0,8.700779543773796
MDM2,10.954125779260334,0.7782718001254139,9.140129337808812,15.17687827009428
MET,11.648604900799821,1.865985270649458,4.349315733644591,16.67467503549645
MGA,9.675674838528538,0.5716411355161691,7.015080475613182,11.351640474585071
MYC,10.173516058848431,1.1097580882480378,4.846884400294036,13.253634786993423
NF1,10.768680372436577,0.6413428268079069,7.881536151101234,12.50714300130323
NKX2-1,10.979007620629009,2.1142346057225803,0.5448809974104044,13.621044510681456
NOTCH1,9.996705113785781,0.8395515105327981,7.152345692835194,12.17969453535946
PDGFRA,9.766580377972035,1.168426887931679,5.944696836175303,12.917260180485805
PIK3CA,8.55243881452245,0.5751456765254797,6.735535716037824,10.385398679734944
PTEN,10.532131602113312,0.47373453324357373,8.584075571820158,11.965506539132852
RB1,9.772263862940282,0.6371260698392881,6.566621868626837,11.472503002537758
RBM10,10.187175432070639,0.6346138850327954,6.617568845266447,12.01492361603646
ROS1,9.256524647248073,2.395108636778172,0.5252670917020329,13.845323425726734
SETD2,10.41280922760414,0.46103842882801305,8.526733963640726,11.733655153200257
SMAD4,10.379336500435423,0.5086035572657933,8.487530564649965,12.115908487558
SMARCA4,11.566446473772494,0.8511810136597449,7.491251848127228,13.55001322894273
SPTA1,1.0843969819318073,1.1164524635274078,0.0,6.871954507086084
STK11,9.541008575491908,0.7965931752575117,5.419741124307269,11.342341397431548
TERT,2.7159776440424563,1.7579330762839644,0.0,10.002688457859623
TP53,10.2155115680597,0.8673350485727555,6.548459744623622,12.199942211523936
U2AF1,10.525695740293836,0.4525766914173887,9.259467877996885,12.023979540281337
XIRP2,0.6336692281386676,0.9134986195146859,0.0,5.8384980179182016
ZFHX4,4.918975586945878,1.810000953240942,0.7525773414762675,11.721419657045304
